YearStart,LocationAbbr,StratificationCategory1,Stratification1,Data_Value
2013,WV,Age (years),65 or older,29.1
2013,WV,Education,College graduate,31.7
2013,WV,Income,Data not reported,35.3
2013,WV,Sex,Female,34.9
2013,WV,Education,High school graduate,36.0
2013,WV,Race/Ethnicity,Hispanic,39.1
2013,WV,Income,"Less than $15,000",34.7
2013,WV,Education,Less than high school,34.9
2013,WV,Sex,Male,35.4
2013,WV,Race/Ethnicity,Non-Hispanic Black,34.9
2013,WV,Race/Ethnicity,Non-Hispanic White,35.1
2013,WV,Education,Some college or technical school,36.2
2013,WV,Total,Total,35.1
2013,WI,Income,"$15,000 - $24,999",31.0
2013,WI,Income,"$25,000 - $34,999",35.7
2013,WI,Income,"$35,000 - $49,999",29.4
2013,WI,Income,"$50,000 - $74,999",28.8
2013,WI,Income,"$75,000 or greater",28.1
2013,WI,Age (years),18 - 24,14.4
2013,WI,Race/Ethnicity,2 or more races,35.7
2013,WI,Age (years),25 - 34,25.1
2013,WI,Age (years),35 - 44,33.5
2013,WI,Age (years),45 - 54,33.6
2013,WI,Age (years),55 - 64,34.9
2013,WI,Age (years),65 or older,32.5
2013,WI,Race/Ethnicity,American Indian/Alaska Native,37.8
2013,WI,Education,College graduate,23.1
2013,WI,Income,Data not reported,28.9
2013,WI,Sex,Female,28.7
2013,WI,Education,High school graduate,32.0
2013,WI,Race/Ethnicity,Hispanic,31.5
2013,WI,Income,"Less than $15,000",29.0
2013,WI,Education,Less than high school,36.2
2013,WI,Sex,Male,30.7
2013,WI,Race/Ethnicity,Non-Hispanic Black,36.1
2013,WI,Race/Ethnicity,Non-Hispanic White,29.5
2013,WI,Education,Some college or technical school,30.3
2013,WI,Total,Total,29.8
2013,WY,Income,"$15,000 - $24,999",30.4
2013,WY,Income,"$25,000 - $34,999",28.9
2013,WY,Income,"$35,000 - $49,999",29.1
2013,WY,Income,"$50,000 - $74,999",29.3
2013,WY,Income,"$75,000 or greater",25.8
2013,WY,Age (years),18 - 24,17.1
2013,WY,Race/Ethnicity,2 or more races,46.8
2013,WY,Age (years),25 - 34,29.9
2013,WY,Age (years),35 - 44,29.8
2013,WY,Age (years),45 - 54,30.8
2013,WY,Age (years),55 - 64,32.7
2013,WY,Age (years),65 or older,23.4
2013,WY,Race/Ethnicity,American Indian/Alaska Native,25.4
2013,WY,Education,College graduate,21.8
2013,WY,Income,Data not reported,23.6
2013,WY,Sex,Female,27.4
2013,WY,Education,High school graduate,27.5
2013,WY,Race/Ethnicity,Hispanic,32.4
2013,WY,Income,"Less than $15,000",29.6
2013,WY,Education,Less than high school,32.1
2013,WY,Sex,Male,28.2
2013,WY,Race/Ethnicity,Non-Hispanic White,27.3
2013,WY,Race/Ethnicity,Other,19.1
2013,WY,Education,Some college or technical school,30.7
2013,WY,Total,Total,27.8
2013,US,Income,"$15,000 - $24,999",32.3
2013,US,Income,"$25,000 - $34,999",29.8
2013,US,Income,"$35,000 - $49,999",30.0
2013,US,Income,"$50,000 - $74,999",28.8
2013,US,Income,"$75,000 or greater",23.9
2013,US,Age (years),18 - 24,15.4
2013,US,Race/Ethnicity,2 or more races,31.7
2013,US,Age (years),25 - 34,26.4
2013,US,Age (years),35 - 44,31.7
2013,US,Age (years),45 - 54,33.3
2013,US,Age (years),55 - 64,33.5
2013,US,Age (years),65 or older,26.5
2013,US,Race/Ethnicity,American Indian/Alaska Native,34.9
2013,US,Race/Ethnicity,Asian,9.6
2013,US,Education,College graduate,20.9
2013,US,Income,Data not reported,24.4
2013,US,Sex,Female,28.3
2013,US,Race/Ethnicity,Hawaiian/Pacific Islander,30.1
2013,US,Education,High school graduate,30.7
2013,US,Race/Ethnicity,Hispanic,31.5
2013,US,Income,"Less than $15,000",33.6
2013,US,Education,Less than high school,34.1
2013,US,Sex,Male,28.3
2013,US,Race/Ethnicity,Non-Hispanic Black,37.8
2013,US,Race/Ethnicity,Non-Hispanic White,27.1
2013,US,Race/Ethnicity,Other,24.8
2013,US,Education,Some college or technical school,29.6
2013,US,Total,Total,28.3
2013,PR,Income,"$15,000 - $24,999",29.5
2013,PR,Income,"$25,000 - $34,999",24.5
2013,PR,Income,"$35,000 - $49,999",25.4
2013,PR,Income,"$50,000 - $74,999",31.9
2013,PR,Income,"$75,000 or greater",26.5
2013,PR,Age (years),18 - 24,15.6
2013,PR,Age (years),25 - 34,26.5
2013,PR,Age (years),35 - 44,33.8
2013,PR,Age (years),45 - 54,34.9
2013,PR,Age (years),55 - 64,33.5
2013,PR,Age (years),65 or older,21.6
2013,PR,Education,College graduate,25.4
2013,PR,Income,Data not reported,23.0
2013,PR,Sex,Female,29.1
2013,PR,Education,High school graduate,30.0
2013,PR,Race/Ethnicity,Hispanic,27.8
2013,PR,Income,"Less than $15,000",29.7
2013,PR,Education,Less than high school,28.7
2013,PR,Sex,Male,26.7
2013,PR,Education,Some college or technical school,27.1
2013,PR,Total,Total,27.9
2014,AL,Income,"$15,000 - $24,999",40.6
2014,AL,Income,"$25,000 - $34,999",35.4
2014,AL,Income,"$35,000 - $49,999",35.5
2014,AL,Income,"$50,000 - $74,999",32.4
2014,AL,Income,"$75,000 or greater",31.0
2014,AL,Age (years),18 - 24,20.4
2014,AL,Race/Ethnicity,2 or more races,39.3
2014,AL,Age (years),25 - 34,31.7
2014,AL,Age (years),35 - 44,40.9
2014,AL,Age (years),45 - 54,39.9
2014,AL,Age (years),55 - 64,37.4
2014,AL,Age (years),65 or older,28.9
2014,AL,Race/Ethnicity,American Indian/Alaska Native,35.2
2014,AL,Education,College graduate,28.1
2014,AL,Income,Data not reported,28.0
2014,AL,Sex,Female,32.9
2014,AL,Education,High school graduate,35.4
2014,AL,Race/Ethnicity,Hispanic,22.9
2014,AL,Income,"Less than $15,000",34.5
2014,AL,Education,Less than high school,34.8
2014,AL,Sex,Male,34.1
2014,AL,Race/Ethnicity,Non-Hispanic Black,41.9
2014,AL,Race/Ethnicity,Non-Hispanic White,31.4
2014,AL,Education,Some college or technical school,34.4
2014,AL,Total,Total,33.5
2014,AK,Income,"$15,000 - $24,999",29.6
2014,AK,Income,"$25,000 - $34,999",32.9
2014,AK,Income,"$35,000 - $49,999",36.0
2014,AK,Income,"$50,000 - $74,999",30.2
2014,AK,Income,"$75,000 or greater",29.3
2014,AK,Age (years),18 - 24,14.0
2014,AK,Race/Ethnicity,2 or more races,34.0
2014,AK,Age (years),25 - 34,28.0
2014,AK,Age (years),35 - 44,33.6
2014,AK,Age (years),45 - 54,35.2
2014,AK,Age (years),55 - 64,34.5
2014,AK,Age (years),65 or older,29.6
2014,AK,Race/Ethnicity,American Indian/Alaska Native,33.8
2014,AK,Race/Ethnicity,Asian,17.8
2014,AK,Education,College graduate,23.4
2014,AK,Income,Data not reported,18.8
2014,AK,Sex,Female,30.2
2014,AK,Education,High school graduate,28.3
2014,AK,Race/Ethnicity,Hispanic,29.6
2014,AK,Income,"Less than $15,000",31.5
2014,AK,Education,Less than high school,32.8
2014,AK,Sex,Male,29.3
2014,AK,Race/Ethnicity,Non-Hispanic Black,42.3
2014,AK,Race/Ethnicity,Non-Hispanic White,28.6
2014,AK,Education,Some college or technical school,34.0
2014,AK,Total,Total,29.7
2014,AZ,Income,"$15,000 - $24,999",34.6
2014,AZ,Income,"$25,000 - $34,999",28.4
2014,AZ,Income,"$35,000 - $49,999",31.4
2014,AZ,Income,"$50,000 - $74,999",25.9
2014,AZ,Income,"$75,000 or greater",26.5
2014,AZ,Age (years),18 - 24,16.6
2014,AZ,Race/Ethnicity,2 or more races,29.5
2014,AZ,Age (years),25 - 34,29.1
2014,AZ,Age (years),35 - 44,33.3
2014,AZ,Age (years),45 - 54,34.9
2014,AZ,Age (years),55 - 64,33.5
2014,AZ,Age (years),65 or older,24.7
2014,AZ,Race/Ethnicity,American Indian/Alaska Native,44.6
2014,AZ,Race/Ethnicity,Asian,6.6
2014,AZ,Education,College graduate,21.6
2014,AZ,Income,Data not reported,23.2
2014,AZ,Sex,Female,28.8
2014,AZ,Education,High school graduate,29.8
2014,AZ,Race/Ethnicity,Hispanic,34.0
2014,AZ,Income,"Less than $15,000",33.6
2014,AZ,Education,Less than high school,32.1
2014,AZ,Sex,Male,29.1
2014,AZ,Race/Ethnicity,Non-Hispanic Black,36.7
2014,AZ,Race/Ethnicity,Non-Hispanic White,26.4
2014,AZ,Race/Ethnicity,Other,26.1
2014,AZ,Education,Some college or technical school,32.1
2014,AZ,Total,Total,28.9
2014,AR,Income,"$15,000 - $24,999",36.5
2014,AR,Income,"$25,000 - $34,999",36.0
2014,AR,Income,"$35,000 - $49,999",31.9
2014,AR,Income,"$50,000 - $74,999",36.7
2014,AR,Income,"$75,000 or greater",33.6
2014,AR,Age (years),18 - 24,23.9
2014,AR,Race/Ethnicity,2 or more races,53.6
2014,AR,Age (years),25 - 34,39.6
2014,AR,Age (years),35 - 44,38.0
2014,AR,Age (years),45 - 54,43.9
2014,AR,Age (years),55 - 64,39.3
2014,AR,Age (years),65 or older,29.2
2014,AR,Race/Ethnicity,American Indian/Alaska Native,45.7
2014,AR,Education,College graduate,28.7
2014,AR,Income,Data not reported,34.6
2014,AR,Sex,Female,36.0
2014,AR,Education,High school graduate,38.0
2014,AR,Race/Ethnicity,Hispanic,35.2
2014,AR,Income,"Less than $15,000",42.8
2014,AR,Education,Less than high school,37.0
2014,AR,Sex,Male,35.8
2014,AR,Race/Ethnicity,Non-Hispanic Black,45.1
2014,AR,Race/Ethnicity,Non-Hispanic White,34.0
2014,AR,Education,Some college or technical school,37.4
2014,AR,Total,Total,35.9
2014,CA,Income,"$15,000 - $24,999",27.4
2014,CA,Income,"$25,000 - $34,999",26.6
2014,CA,Income,"$35,000 - $49,999",24.0
2014,CA,Income,"$50,000 - $74,999",22.7
2014,CA,Income,"$75,000 or greater",22.3
2014,CA,Age (years),18 - 24,13.3
2014,CA,Race/Ethnicity,2 or more races,28.6
2014,CA,Age (years),25 - 34,23.7
2014,CA,Age (years),35 - 44,28.1
2014,CA,Age (years),45 - 54,26.9
2014,CA,Age (years),55 - 64,29.8
2014,CA,Age (years),65 or older,24.1
2014,CA,Race/Ethnicity,American Indian/Alaska Native,32.1
2014,CA,Race/Ethnicity,Asian,8.9
2014,CA,Education,College graduate,17.2
2014,CA,Income,Data not reported,20.9
2014,CA,Sex,Female,25.4
2014,CA,Education,High school graduate,25.0
2014,CA,Race/Ethnicity,Hispanic,32.3
2014,CA,Income,"Less than $15,000",30.0
2014,CA,Education,Less than high school,34.2
2014,CA,Sex,Male,24.0
2014,CA,Race/Ethnicity,Non-Hispanic Black,32.7
2014,CA,Race/Ethnicity,Non-Hispanic White,22.7
2014,CA,Race/Ethnicity,Other,22.7
2014,CA,Education,Some college or technical school,26.1
2014,CA,Total,Total,24.7
2014,CO,Income,"$15,000 - $24,999",23.5
2014,CO,Income,"$25,000 - $34,999",24.3
2014,CO,Income,"$35,000 - $49,999",24.2
2014,CO,Income,"$50,000 - $74,999",22.2
2014,CO,Income,"$75,000 or greater",18.8
2014,CO,Age (years),18 - 24,10.9
2014,CO,Race/Ethnicity,2 or more races,18.2
2014,CO,Age (years),25 - 34,18.7
2014,CO,Age (years),35 - 44,24.1
2014,CO,Age (years),45 - 54,24.7
2014,CO,Age (years),55 - 64,26.1
2014,CO,Age (years),65 or older,20.5
2014,CO,Race/Ethnicity,American Indian/Alaska Native,37.6
2014,CO,Race/Ethnicity,Asian,8.7
2014,CO,Education,College graduate,16.2
2014,CO,Income,Data not reported,16.3
2014,CO,Sex,Female,20.7
2014,CO,Education,High school graduate,23.3
2014,CO,Race/Ethnicity,Hispanic,26.8
2014,CO,Income,"Less than $15,000",27.1
2014,CO,Education,Less than high school,26.3
2014,CO,Sex,Male,21.9
2014,CO,Race/Ethnicity,Non-Hispanic Black,30.5
2014,CO,Race/Ethnicity,Non-Hispanic White,19.9
2014,CO,Race/Ethnicity,Other,19.4
2014,CO,Education,Some college or technical school,23.7
2014,CO,Total,Total,21.3
2014,CT,Income,"$15,000 - $24,999",30.9
2014,CT,Income,"$25,000 - $34,999",27.7
2014,CT,Income,"$35,000 - $49,999",27.6
2014,CT,Income,"$50,000 - $74,999",30.1
2014,CT,Income,"$75,000 or greater",23.9
2014,CT,Age (years),18 - 24,11.4
2014,CT,Race/Ethnicity,2 or more races,38.6
2014,CT,Age (years),25 - 34,25.0
2014,CT,Age (years),35 - 44,26.8
2014,CT,Age (years),45 - 54,30.8
2014,CT,Age (years),55 - 64,31.7
2014,CT,Age (years),65 or older,27.2
2014,CT,Race/Ethnicity,Asian,13.1
2014,CT,Education,College graduate,20.1
2014,CT,Income,Data not reported,19.7
2014,CT,Sex,Female,26.0
2014,CT,Education,High school graduate,29.2
2014,CT,Race/Ethnicity,Hispanic,27.5
2014,CT,Income,"Less than $15,000",34.0
2014,CT,Education,Less than high school,30.7
2014,CT,Sex,Male,26.5
2014,CT,Race/Ethnicity,Non-Hispanic Black,37.3
2014,CT,Race/Ethnicity,Non-Hispanic White,25.1
2014,CT,Race/Ethnicity,Other,21.8
2014,CT,Education,Some college or technical school,28.7
2014,CT,Total,Total,26.3
2014,DE,Income,"$15,000 - $24,999",33.8
2014,DE,Income,"$25,000 - $34,999",31.5
2014,DE,Income,"$35,000 - $49,999",34.6
2014,DE,Income,"$50,000 - $74,999",36.6
2014,DE,Income,"$75,000 or greater",24.9
2014,DE,Age (years),18 - 24,17.4
2014,DE,Race/Ethnicity,2 or more races,27.5
2014,DE,Age (years),25 - 34,25.9
2014,DE,Age (years),35 - 44,34.5
2014,DE,Age (years),45 - 54,36.4
2014,DE,Age (years),55 - 64,35.9
2014,DE,Age (years),65 or older,30.5
2014,DE,Race/Ethnicity,Asian,10.7
2014,DE,Education,College graduate,25.2
2014,DE,Income,Data not reported,27.7
2014,DE,Sex,Female,31.9
2014,DE,Education,High school graduate,32.7
2014,DE,Race/Ethnicity,Hispanic,31.3
2014,DE,Income,"Less than $15,000",35.5
2014,DE,Education,Less than high school,30.8
2014,DE,Sex,Male,29.4
2014,DE,Race/Ethnicity,Non-Hispanic Black,37.7
2014,DE,Race/Ethnicity,Non-Hispanic White,29.6
2014,DE,Education,Some college or technical school,33.0
2014,DE,Total,Total,30.7
2014,DC,Income,"$15,000 - $24,999",27.5
2014,DC,Income,"$25,000 - $34,999",22.3
2014,DC,Income,"$35,000 - $49,999",28.8
2014,DC,Income,"$50,000 - $74,999",23.0
2014,DC,Income,"$75,000 or greater",12.1
2014,DC,Age (years),18 - 24,10.3
2014,DC,Race/Ethnicity,2 or more races,34.2
2014,DC,Age (years),25 - 34,18.0
2014,DC,Age (years),35 - 44,20.6
2014,DC,Age (years),45 - 54,32.8
2014,DC,Age (years),55 - 64,26.5
2014,DC,Age (years),65 or older,23.7
2014,DC,Race/Ethnicity,Asian,5.9
2014,DC,Education,College graduate,12.6
2014,DC,Income,Data not reported,25.0
2014,DC,Sex,Female,23.7
2014,DC,Education,High school graduate,30.1
2014,DC,Race/Ethnicity,Hispanic,19.9
2014,DC,Income,"Less than $15,000",34.1
2014,DC,Education,Less than high school,37.5
2014,DC,Sex,Male,19.5
2014,DC,Race/Ethnicity,Non-Hispanic Black,33.9
2014,DC,Race/Ethnicity,Non-Hispanic White,10.3
2014,DC,Education,Some college or technical school,27.3
2014,DC,Total,Total,21.7
2014,FL,Income,"$15,000 - $24,999",29.9
2014,FL,Income,"$25,000 - $34,999",28.9
2014,FL,Income,"$35,000 - $49,999",27.3
2014,FL,Income,"$50,000 - $74,999",25.3
2014,FL,Income,"$75,000 or greater",23.5
2014,FL,Age (years),18 - 24,15.3
2014,FL,Race/Ethnicity,2 or more races,23.2
2014,FL,Age (years),25 - 34,24.3
2014,FL,Age (years),35 - 44,31.2
2014,FL,Age (years),45 - 54,33.1
2014,FL,Age (years),55 - 64,28.4
2014,FL,Age (years),65 or older,23.2
2014,FL,Race/Ethnicity,Asian,12.8
2014,FL,Education,College graduate,20.2
2014,FL,Income,Data not reported,19.5
2014,FL,Sex,Female,26.6
2014,FL,Education,High school graduate,27.4
2014,FL,Race/Ethnicity,Hispanic,27.2
2014,FL,Income,"Less than $15,000",31.5
2014,FL,Education,Less than high school,29.5
2014,FL,Sex,Male,25.8
2014,FL,Race/Ethnicity,Non-Hispanic Black,36.3
2014,FL,Race/Ethnicity,Non-Hispanic White,24.4
2014,FL,Education,Some college or technical school,28.1
2014,FL,Total,Total,26.2
2014,GA,Income,"$15,000 - $24,999",32.0
2014,GA,Income,"$25,000 - $34,999",34.0
2014,GA,Income,"$35,000 - $49,999",33.9
2014,GA,Income,"$50,000 - $74,999",30.9
2014,GA,Income,"$75,000 or greater",24.1
2014,GA,Age (years),18 - 24,17.0
2014,GA,Race/Ethnicity,2 or more races,27.2
2014,GA,Age (years),25 - 34,29.0
2014,GA,Age (years),35 - 44,33.3
2014,GA,Age (years),45 - 54,36.2
2014,GA,Age (years),55 - 64,35.2
2014,GA,Age (years),65 or older,29.5
2014,GA,Race/Ethnicity,Asian,4.3
2014,GA,Education,College graduate,25.6
2014,GA,Income,Data not reported,26.4
2014,GA,Sex,Female,32.4
2014,GA,Education,High school graduate,30.8
2014,GA,Race/Ethnicity,Hispanic,23.3
2014,GA,Income,"Less than $15,000",39.7
2014,GA,Education,Less than high school,37.7
2014,GA,Sex,Male,28.6
2014,GA,Race/Ethnicity,Non-Hispanic Black,37.8
2014,GA,Race/Ethnicity,Non-Hispanic White,28.9
2014,GA,Education,Some college or technical school,30.6
2014,GA,Total,Total,30.5
2014,HI,Income,"$15,000 - $24,999",23.9
2014,HI,Income,"$25,000 - $34,999",22.5
2014,HI,Income,"$35,000 - $49,999",21.5
2014,HI,Income,"$50,000 - $74,999",21.7
2014,HI,Income,"$75,000 or greater",21.4
2014,HI,Age (years),18 - 24,13.8
2014,HI,Race/Ethnicity,2 or more races,32.1
2014,HI,Age (years),25 - 34,25.9
2014,HI,Age (years),35 - 44,28.0
2014,HI,Age (years),45 - 54,26.4
2014,HI,Age (years),55 - 64,23.9
2014,HI,Age (years),65 or older,14.1
2014,HI,Race/Ethnicity,Asian,15.2
2014,HI,Education,College graduate,17.4
2014,HI,Income,Data not reported,17.4
2014,HI,Sex,Female,21.0
2014,HI,Race/Ethnicity,Hawaiian/Pacific Islander,51.9
2014,HI,Education,High school graduate,25.2
2014,HI,Race/Ethnicity,Hispanic,32.3
2014,HI,Income,"Less than $15,000",27.0
2014,HI,Education,Less than high school,21.3
2014,HI,Sex,Male,23.1
2014,HI,Race/Ethnicity,Non-Hispanic Black,34.3
2014,HI,Race/Ethnicity,Non-Hispanic White,17.6
2014,HI,Education,Some college or technical school,23.2
2014,HI,Total,Total,22.1
2014,ID,Income,"$15,000 - $24,999",32.0
2014,ID,Income,"$25,000 - $34,999",30.5
2014,ID,Income,"$35,000 - $49,999",32.3
2014,ID,Income,"$50,000 - $74,999",25.9
2014,ID,Income,"$75,000 or greater",25.8
2014,ID,Age (years),18 - 24,18.9
2014,ID,Race/Ethnicity,2 or more races,31.8
2014,ID,Age (years),25 - 34,30.0
2014,ID,Age (years),35 - 44,32.4
2014,ID,Age (years),45 - 54,33.1
2014,ID,Age (years),55 - 64,31.9
2014,ID,Age (years),65 or older,26.2
2014,ID,Race/Ethnicity,American Indian/Alaska Native,37.7
2014,ID,Education,College graduate,24.3
2014,ID,Income,Data not reported,23.2
2014,ID,Sex,Female,29.2
2014,ID,Education,High school graduate,28.7
2014,ID,Race/Ethnicity,Hispanic,37.6
2014,ID,Income,"Less than $15,000",35.2
2014,ID,Education,Less than high school,34.4
2014,ID,Sex,Male,28.7
2014,ID,Race/Ethnicity,Non-Hispanic White,27.7
2014,ID,Education,Some college or technical school,30.3
2014,ID,Total,Total,28.9
2014,IL,Income,"$15,000 - $24,999",32.6
2014,IL,Income,"$25,000 - $34,999",31.7
2014,IL,Income,"$35,000 - $49,999",29.0
2014,IL,Income,"$50,000 - $74,999",30.3
2014,IL,Income,"$75,000 or greater",25.9
2014,IL,Age (years),18 - 24,13.1
2014,IL,Race/Ethnicity,2 or more races,23.1
2014,IL,Age (years),25 - 34,22.6
2014,IL,Age (years),35 - 44,35.0
2014,IL,Age (years),45 - 54,34.3
2014,IL,Age (years),55 - 64,35.8
2014,IL,Age (years),65 or older,31.0
2014,IL,Race/Ethnicity,Asian,3.2
2014,IL,Education,College graduate,22.0
2014,IL,Income,Data not reported,18.7
2014,IL,Sex,Female,30.7
2014,IL,Education,High school graduate,33.0
2014,IL,Race/Ethnicity,Hispanic,34.9
2014,IL,Income,"Less than $15,000",35.5
2014,IL,Education,Less than high school,32.3
2014,IL,Sex,Male,27.9
2014,IL,Race/Ethnicity,Non-Hispanic Black,43.8
2014,IL,Race/Ethnicity,Non-Hispanic White,27.5
2014,IL,Education,Some college or technical school,31.5
2014,IL,Total,Total,29.3
2014,IN,Income,"$15,000 - $24,999",34.7
2014,IN,Income,"$25,000 - $34,999",31.0
2014,IN,Income,"$35,000 - $49,999",34.8
2014,IN,Income,"$50,000 - $74,999",31.9
2014,IN,Income,"$75,000 or greater",30.6
2014,IN,Age (years),18 - 24,19.9
2014,IN,Race/Ethnicity,2 or more races,30.1
2014,IN,Age (years),25 - 34,32.0
2014,IN,Age (years),35 - 44,35.5
2014,IN,Age (years),45 - 54,38.8
2014,IN,Age (years),55 - 64,37.8
2014,IN,Age (years),65 or older,30.2
2014,IN,Race/Ethnicity,American Indian/Alaska Native,39.2
2014,IN,Race/Ethnicity,Asian,10.4
2014,IN,Education,College graduate,27.6
2014,IN,Income,Data not reported,27.6
2014,IN,Sex,Female,33.0
2014,IN,Education,High school graduate,34.1
2014,IN,Race/Ethnicity,Hispanic,30.8
2014,IN,Income,"Less than $15,000",40.3
2014,IN,Education,Less than high school,34.9
2014,IN,Sex,Male,32.5
2014,IN,Race/Ethnicity,Non-Hispanic Black,42.1
2014,IN,Race/Ethnicity,Non-Hispanic White,32.4
2014,IN,Education,Some college or technical school,33.8
2014,IN,Total,Total,32.7
2014,IA,Income,"$15,000 - $24,999",35.2
2014,IA,Income,"$25,000 - $34,999",34.7
2014,IA,Income,"$35,000 - $49,999",31.0
2014,IA,Income,"$50,000 - $74,999",30.8
2014,IA,Income,"$75,000 or greater",28.9
2014,IA,Age (years),18 - 24,15.0
2014,IA,Race/Ethnicity,2 or more races,24.0
2014,IA,Age (years),25 - 34,27.1
2014,IA,Age (years),35 - 44,35.4
2014,IA,Age (years),45 - 54,36.1
2014,IA,Age (years),55 - 64,37.9
2014,IA,Age (years),65 or older,30.9
2014,IA,Race/Ethnicity,Asian,6.2
2014,IA,Education,College graduate,25.0
2014,IA,Income,Data not reported,26.4
2014,IA,Sex,Female,29.8
2014,IA,Education,High school graduate,32.5
2014,IA,Race/Ethnicity,Hispanic,27.9
2014,IA,Income,"Less than $15,000",32.8
2014,IA,Education,Less than high school,37.4
2014,IA,Sex,Male,32.0
2014,IA,Race/Ethnicity,Non-Hispanic Black,31.4
2014,IA,Race/Ethnicity,Non-Hispanic White,31.4
2014,IA,Education,Some college or technical school,31.9
2014,IA,Total,Total,30.9
2014,KS,Income,"$15,000 - $24,999",34.0
2014,KS,Income,"$25,000 - $34,999",36.7
2014,KS,Income,"$35,000 - $49,999",33.2
2014,KS,Income,"$50,000 - $74,999",33.0
2014,KS,Income,"$75,000 or greater",27.7
2014,KS,Age (years),18 - 24,15.2
2014,KS,Race/Ethnicity,2 or more races,33.9
2014,KS,Age (years),25 - 34,30.0
2014,KS,Age (years),35 - 44,36.5
2014,KS,Age (years),45 - 54,36.6
2014,KS,Age (years),55 - 64,38.4
2014,KS,Age (years),65 or older,28.7
2014,KS,Race/Ethnicity,American Indian/Alaska Native,35.2
2014,KS,Race/Ethnicity,Asian,11.1
2014,KS,Education,College graduate,27.4
2014,KS,Income,Data not reported,25.7
2014,KS,Sex,Female,31.5
2014,KS,Education,High school graduate,33.4
2014,KS,Race/Ethnicity,Hispanic,33.0
2014,KS,Income,"Less than $15,000",34.7
2014,KS,Education,Less than high school,31.2
2014,KS,Sex,Male,31.1
2014,KS,Race/Ethnicity,Non-Hispanic Black,42.1
2014,KS,Race/Ethnicity,Non-Hispanic White,30.5
2014,KS,Education,Some college or technical school,32.7
2014,KS,Total,Total,31.3
2014,KY,Income,"$15,000 - $24,999",35.2
2014,KY,Income,"$25,000 - $34,999",30.3
2014,KY,Income,"$35,000 - $49,999",33.7
2014,KY,Income,"$50,000 - $74,999",35.4
2014,KY,Income,"$75,000 or greater",28.1
2014,KY,Age (years),18 - 24,14.6
2014,KY,Race/Ethnicity,2 or more races,37.0
2014,KY,Age (years),25 - 34,29.7
2014,KY,Age (years),35 - 44,39.5
2014,KY,Age (years),45 - 54,37.1
2014,KY,Age (years),55 - 64,37.0
2014,KY,Age (years),65 or older,27.5
2014,KY,Race/Ethnicity,American Indian/Alaska Native,24.0
2014,KY,Education,College graduate,28.1
2014,KY,Income,Data not reported,24.6
2014,KY,Sex,Female,29.9
2014,KY,Education,High school graduate,33.3
2014,KY,Race/Ethnicity,Hispanic,18.5
2014,KY,Income,"Less than $15,000",35.1
2014,KY,Education,Less than high school,33.2
2014,KY,Sex,Male,33.3
2014,KY,Race/Ethnicity,Non-Hispanic Black,42.9
2014,KY,Race/Ethnicity,Non-Hispanic White,31.3
2014,KY,Education,Some college or technical school,31.1
2014,KY,Total,Total,31.6
2014,LA,Income,"$15,000 - $24,999",36.1
2014,LA,Income,"$25,000 - $34,999",39.0
2014,LA,Income,"$35,000 - $49,999",37.8
2014,LA,Income,"$50,000 - $74,999",33.0
2014,LA,Income,"$75,000 or greater",33.7
2014,LA,Age (years),18 - 24,19.4
2014,LA,Race/Ethnicity,2 or more races,44.3
2014,LA,Age (years),25 - 34,35.5
2014,LA,Age (years),35 - 44,40.7
2014,LA,Age (years),45 - 54,38.5
2014,LA,Age (years),55 - 64,40.1
2014,LA,Age (years),65 or older,32.0
2014,LA,Race/Ethnicity,American Indian/Alaska Native,26.9
2014,LA,Education,College graduate,30.7
2014,LA,Income,Data not reported,27.6
2014,LA,Sex,Female,35.7
2014,LA,Education,High school graduate,37.1
2014,LA,Race/Ethnicity,Hispanic,32.9
2014,LA,Income,"Less than $15,000",40.0
2014,LA,Education,Less than high school,36.1
2014,LA,Sex,Male,34.0
2014,LA,Race/Ethnicity,Non-Hispanic Black,43.4
2014,LA,Race/Ethnicity,Non-Hispanic White,31.3
2014,LA,Race/Ethnicity,Other,27.9
2014,LA,Education,Some college or technical school,34.4
2014,LA,Total,Total,34.9
2014,ME,Income,"$15,000 - $24,999",32.2
2014,ME,Income,"$25,000 - $34,999",30.2
2014,ME,Income,"$35,000 - $49,999",29.9
2014,ME,Income,"$50,000 - $74,999",28.0
2014,ME,Income,"$75,000 or greater",23.7
2014,ME,Age (years),18 - 24,14.7
2014,ME,Race/Ethnicity,2 or more races,19.3
2014,ME,Age (years),25 - 34,29.0
2014,ME,Age (years),35 - 44,29.5
2014,ME,Age (years),45 - 54,34.4
2014,ME,Age (years),55 - 64,31.4
2014,ME,Age (years),65 or older,25.9
2014,ME,Race/Ethnicity,American Indian/Alaska Native,35.4
2014,ME,Education,College graduate,22.5
2014,ME,Income,Data not reported,23.5
2014,ME,Sex,Female,28.5
2014,ME,Education,High school graduate,31.1
2014,ME,Race/Ethnicity,Hispanic,30.0
2014,ME,Income,"Less than $15,000",32.7
2014,ME,Education,Less than high school,30.9
2014,ME,Sex,Male,27.9
2014,ME,Race/Ethnicity,Non-Hispanic White,28.1
2014,ME,Education,Some college or technical school,28.8
2014,ME,Total,Total,28.2
2014,MD,Income,"$15,000 - $24,999",35.0
2014,MD,Income,"$25,000 - $34,999",30.8
2014,MD,Income,"$35,000 - $49,999",33.2
2014,MD,Income,"$50,000 - $74,999",31.2
